WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Rock Springs,US,41.59,-109.2,62.6,48,1,5.82,clear sky
273,Rio Grande,BR,-32.03,-52.1,57.99,91,98,1.01,overcast clouds
274,Tuatapere,NZ,-46.13,167.68,45.0,72,74,11.01,broken clouds
275,Luderitz,NA,-26.65,15.16,56.46,75,0,5.59,clear sky
276,Blagoyevo,RU,63.37,47.92,66.16,66,14,7.87,light rain
277,Beira,MZ,-19.84,34.84,73.4,78,75,14.99,broken clouds
278,Santa Maria,BR,-29.68,-53.81,58.77,81,98,6.35,overcast clouds
279,Carutapera,BR,-1.2,-46.02,75.09,87,0,5.44,clear sky
280,Coahuayana,MX,18.73,-103.68,78.91,86,99,1.59,light rain
281,Pinkafeld,AT,47.37,16.12,66.99,77,20,3.36,few clouds
282,Verkh-Usugli,RU,52.7,115.17,62.85,55,61,5.97,broken clouds
283,Ayagoz,KZ,47.97,80.44,75.97,37,97,18.84,overcast clouds
284,Kemijarvi,FI,66.71,27.43,53.96,52,0,11.45,clear sky
285,Scarborough,GB,54.28,-0.4,60.01,95,100,3.0,moderate rain
286,Naze,JP,28.37,129.48,89.6,79,75,18.34,broken clouds
287,Almaznyy,RU,48.04,40.05,77.0,31,0,8.95,clear sky
288,Beringovskiy,RU,63.05,179.32,50.9,81,22,2.77,few clouds
289,Kilimatinde,TZ,-5.85,34.95,73.08,52,0,8.68,clear sky
290,Ola,RU,59.58,151.28,53.96,55,0,7.67,clear sky
291,Ponta Do Sol,PT,32.67,-17.1,71.6,73,20,14.99,few clouds
292,Fort Nelson,CA,58.81,-122.7,51.8,100,90,2.24,mist
293,Arkhipo-Osipovka,RU,44.37,38.52,78.15,45,0,1.19,clear sky
294,Loanda,AO,-8.84,13.23,73.4,78,90,4.7,overcast clouds
295,Dingle,PH,11.0,122.67,87.58,73,9,10.04,light rain
296,Srednekolymsk,RU,67.45,153.68,42.57,73,98,8.28,overcast clouds
297,Holsted,DK,55.51,8.92,59.0,72,60,1.12,broken clouds
298,Motygino,RU,58.18,94.76,72.99,46,38,2.15,scattered clouds
299,Ewa Beach,US,21.32,-158.01,80.6,61,1,4.7,clear sky
300,Isangel,VU,-19.55,169.27,77.0,83,75,3.36,broken clouds
301,Kropotkin,RU,45.44,40.58,81.25,23,0,17.36,clear sky
302,San Angelo,US,31.46,-100.44,75.0,68,40,4.7,scattered clouds
303,Aripuana,BR,-9.17,-60.63,70.47,47,0,2.28,clear sky
304,Kalanchak,UA,46.26,33.29,81.0,36,17,10.96,few clouds
305,Itacoatiara,BR,-3.14,-58.44,75.47,66,2,2.82,clear sky
306,Constitucion,CL,-35.33,-72.42,51.69,88,95,18.1,light rain
307,Taoudenni,ML,22.68,-3.98,92.35,40,75,15.46,broken clouds
308,Buala,SB,-8.14,159.59,83.05,72,69,4.05,broken clouds
309,Skjervoy,NO,70.03,20.97,50.0,87,75,8.05,broken clouds
310,Matehuala,MX,23.65,-100.65,65.05,75,34,5.64,scattered clouds
311,Marsaxlokk,MT,35.84,14.54,82.4,69,20,17.22,few clouds
312,San Lawrenz,MT,36.06,14.2,82.4,69,20,17.22,few clouds
313,Severo-Kurilsk,RU,50.68,156.12,55.65,82,100,8.28,overcast clouds
314,Dunedin,NZ,-45.87,170.5,39.99,80,91,24.0,moderate rain
315,Los Llanos De Aridane,ES,28.66,-17.92,79.0,78,17,13.87,few clouds
316,Vardo,NO,70.37,31.11,53.6,66,48,9.17,scattered clouds
317,Saldanha,ZA,-33.01,17.94,53.6,80,90,11.41,fog
318,Aklavik,CA,68.22,-135.01,51.8,87,20,11.43,few clouds
319,Palmer,US,42.16,-72.33,71.01,100,1,2.15,mist
320,Payo,ID,-3.75,103.64,91.56,44,1,7.38,clear sky
321,Qaracala,AZ,39.81,48.95,78.37,36,0,2.42,clear sky
322,Salalah,OM,17.02,54.09,77.0,94,90,9.17,haze
323,Revda,RU,56.8,59.93,66.2,77,100,8.95,overcast clouds
324,Garnic,RO,44.79,21.79,64.0,84,100,3.0,overcast clouds
325,Aitape,PG,-3.14,142.35,83.25,70,95,7.16,overcast clouds
326,Springbok,ZA,-29.66,17.89,52.25,45,0,2.15,clear sky
327,Porto Novo,BJ,6.5,2.6,75.2,94,75,11.41,broken clouds
328,Hermiston,US,45.84,-119.29,71.01,40,1,6.93,clear sky
329,Kidal,ML,18.44,1.41,80.35,63,43,5.7,scattered clouds
330,Porbandar,IN,21.64,69.61,84.22,77,22,24.38,moderate rain
331,Ust-Kuyga,RU,70.02,135.6,48.2,52,0,13.44,clear sky
332,Kathmandu,NP,27.72,85.32,84.2,62,40,4.7,scattered clouds
333,Sumbe,AO,-11.21,13.84,69.8,80,90,2.21,mist
334,Oktyabrskiy,RU,54.48,53.47,71.92,61,0,12.01,clear sky
335,Port Blair,IN,11.67,92.75,86.4,69,59,10.0,broken clouds
336,Soc Trang,VN,9.6,105.98,91.4,66,40,8.05,scattered clouds
337,Zarand,IR,30.81,56.56,82.36,25,0,12.41,clear sky
338,Masindi,UG,1.67,31.71,71.83,79,66,2.86,broken clouds
339,Coquimbo,CL,-29.95,-71.34,51.91,79,0,3.04,clear sky
340,Kahului,US,20.89,-156.47,80.6,65,1,11.41,clear sky
341,Zaranj,AF,30.97,61.88,89.6,25,0,40.26,sand
342,Kinkala,CG,-4.36,14.76,73.4,83,40,2.24,scattered clouds
343,Okoneshnikovo,RU,54.84,75.08,64.08,62,45,11.74,light rain
344,Mocuba,MZ,-16.84,36.99,79.32,57,60,5.7,broken clouds
345,Pacifica,US,37.61,-122.49,61.0,93,20,9.17,smoke
346,Gilgit,PK,35.92,74.31,92.98,23,37,3.78,scattered clouds
347,At-Bashi,KG,41.17,75.81,69.01,95,1,4.41,clear sky
348,Najran,SA,17.49,44.13,98.6,17,40,5.82,scattered clouds
349,Lyambir,RU,54.28,45.12,68.07,78,88,10.45,overcast clouds
350,Antalya,TR,36.77,30.72,89.6,29,0,3.36,clear sky
351,Caririacu,BR,-7.04,-39.28,63.32,92,55,3.42,broken clouds
352,Macenta,GN,8.54,-9.47,67.05,97,100,1.7,overcast clouds
353,Havoysund,NO,71.0,24.66,46.4,93,75,21.92,shower rain
354,Rafsanjan,IR,30.41,55.99,80.15,28,0,12.5,clear sky
355,Hendersonville,US,36.3,-86.62,75.2,88,20,4.7,few clouds
356,Arkadelphia,US,34.12,-93.05,69.8,100,1,3.58,clear sky
357,Tazovskiy,RU,67.47,78.7,55.22,88,100,9.66,overcast clouds
358,Lodja,CD,-3.48,23.43,74.3,83,98,2.15,overcast clouds
359,Verkhnyaya Inta,RU,65.98,60.31,53.28,88,100,4.47,moderate rain
360,Baturaja,ID,-4.13,104.17,90.54,48,38,6.53,scattered clouds
361,Casas Grandes,MX,30.37,-107.95,66.99,55,0,3.78,clear sky
362,Vilyuysk,RU,63.76,121.62,61.21,32,53,6.2,broken clouds
363,Lazaro Cardenas,MX,17.96,-102.2,78.84,87,100,2.82,moderate rain
364,Khani,GE,41.96,42.96,78.8,47,0,34.45,clear sky
